CellID,X,Y,cluster_name
484,3327.114746,729.6200562,Tumor APCs
485,4164.683594,734.2561646,Inflammatory Monocytes
486,4242.937988,733.0089111,CD31+TAM
487,2088.770996,734.6737671,B cells
488,2692.986084,729.7053833,IDO-1+ Tumor APCs
489,4588.111328,735.9752197,T help
490,1905.914063,737.2929688,B cells
491,4278.537598,737.6384277,B cells
492,1812.564941,739.5559082,B cells
493,3802.586182,736.6829834,IDO-1+ Tumor APCs
494,2462.15625,741.3877563,APC T help
495,2973.937012,741.8289185,CD31+TAM
496,3047.556641,741.829895,IDO-1+ Tumor APCs
497,4382.226074,743.6508179,MPs
498,3387.901855,743.8278809,None2 Immune/cancer Artefacts
499,1783.871826,742.6844482,APC T help
500,3468.739502,744.0787964,Proliferating Tumor APCs
501,3955.998047,743.4841919,B cells
502,3008.547119,744.2832642,APC T help
503,3523.124512,744.4034424,CD31+TAM
504,4123.411621,745.4140625,CD31+TAM
505,1689.920776,747.1583862,None Artefacts
506,1760.170654,746.1123047,Proliferative MPs
507,2145.03833,746.3786011,IDO-1+ Tumor APCs
508,2338.225586,747.001709,CD31+TAM
509,2774.240234,744.425293,CD31+TAM
510,3121.183838,746.4080811,IDO-1+ Tumor APCs
511,4478.175293,746.788208,MPs
512,2288.343506,748.2885742,APC T help
513,2624.592285,747.7350464,Tcyt
514,3542.78833,745.4858398,CD31+TAM
515,3780.658691,749.0252686,Tumor APCs
516,4314.941406,748.5419922,T help
517,3843.143311,748.625,CD31+TAM
518,4431.481445,750.319519,Inflammatory Monocytes
519,4502.168457,747.6710815,CD31+TAM
520,2509.434326,751.4489746,Tumor APCs
521,3173.418213,750.8996582,IDO-1+ Tumor APCs
522,3357.193848,751.3780518,Proliferating Tumor APCs
523,3682.006348,751.4365845,CD31+TAM
524,4031.43042,750.4235229,Treg
525,2397.297607,753.0466309,B cells
526,2714.381104,752.4453125,Proliferating Tumor APCs
527,3486.223389,752.5021973,Proliferating Tumor APCs
528,1869.808594,754.0262451,Proliferative MPs
529,2228.437012,753.2941895,CD31+TAM
530,2869.485107,753.534729,CD31+TAM
531,3444.785156,754.5,IDO-1+ Tumor APCs
532,1969.228516,754.7661743,CD31+TAM
533,1712.924927,756.5442505,MPs
534,2371.022461,756.0124512,APC T help
535,3264.270996,756.3060913,CD31+TAM
536,1743.5,757.5,Proliferative MPs
537,2893.894531,757.1987305,CD31+TAM
538,3570.086426,756.9094849,CD31+TAM
539,4565.921387,758.8521118,Endothelial
540,3319.309326,761.7172241,Proliferating Tumor APCs
541,2013.733276,762.6758423,APC T help
542,2608.067383,763.0995483,CD31+TAM
543,4051.812012,759.9093018,Inflammatory Monocytes
544,3054.054932,763.392395,CD31+TAM
545,1926.680664,764.4779053,Inflammatory Monocytes
546,3877.2146,762.7481079,CD31+TAM
547,2577.925537,766.9805298,IDO-1+ Tumor APCs
548,2999.668945,766.9749146,APC T help
549,3525.099365,768.5340576,TAM
550,3740.428467,767.5971069,TAM
551,2313.738037,768.5634155,CD31+TAM
552,2848.853027,767.8382568,APC T help
553,3230.304688,769.6539917,Inflammatory Monocytes
554,3407.418945,767.5054321,IDO-1+ Tumor APCs
555,4653.185059,768.7962036,Tcyt
556,1764.826538,769.3843384,APC T help
557,2263.335205,770.4281616,CD31+TAM
558,3775.843506,771.177063,Proliferating Tumor APCs
559,2706.348633,772.4904175,IDO-1+ Tumor APCs
560,3171.62915,771.25354,Inflammatory Monocytes
561,4697.480469,772.9119263,None Artefacts
562,3379.964844,773.1990356,None2 Immune/cancer Artefacts
563,2641.171387,774.7316284,CD31+TAM
564,2887.566406,775.3859863,APC T help
565,3493.483154,774.444458,IDO-1+ Tumor APCs
566,4616.945801,774.9844971,None Artefacts
567,4589.433594,775.9232178,T help
568,2102.749756,776.2036133,Treg
569,3820.568604,776.3711548,Proliferating Tumor APCs
570,4369.269043,777.1017456,None Artefacts
571,2486.549072,778.9462891,B cells
572,3995.783203,777.4367065,CD31+TAM
573,4567.614258,778.0409546,None Artefacts
574,4441.959961,778.4667969,None Artefacts
575,2375.717529,780.979248,T help
576,4150.637695,780.5479126,CD31+TAM
577,3843.5625,781.7750244,Proliferating Tumor APCs
578,4528.213867,780.6186523,T help
579,1895.092896,780.4745483,CD31+TAM
580,2513.947021,782.6748047,B cells
581,2808.925781,782.1881104,APC T help
582,4035.943115,783.7579956,Inflammatory Monocytes
583,1741.852783,783.0223999,Proliferative MPs
584,4728.635742,783.7003174,T help
585,2008.113281,784.8624878,Proliferative MPs
586,1791.004028,785.7297363,Treg
587,3303.760986,786.8706055,TAM
